Symbol,Whether ETF,Company Name,Exchange Market Place
IBN,False,ICICI Bank Limited Common Stock,nyse
ICE,False,Intercontinental Exchange Inc. Common Stock,nyse
ICLR,False,ICON plc - Ordinary Shares,nasdaq
IDXX,False,"IDEXX Laboratories, Inc. - Common Stock",nasdaq
IEX,False,IDEX Corporation Common Stock,nyse
IFF,False,"International Flavors & Fragrances, Inc. Common Stock",nyse
IHI,True,iShares U.S. Medical Devices ETF,nysearca
ILMN,False,"Illumina, Inc. - Common Stock",nasdaq
INCY,False,Incyte Corporation - Common Stock,nasdaq
INTC,False,Intel Corporation - Common Stock,nasdaq
INTU,False,Intuit Inc. - Common Stock,nasdaq
INVH,False,Invitation Homes Inc. Common Stock,nyse
IP,False,International Paper Company Common Stock,nyse
IPG,False,"Interpublic Group of Companies, Inc. (The) Common Stock",nyse
IQ,False,"iQIYI, Inc. - American Depositary Shares",nasdaq
IQV,False,"IQVIA Holdings, Inc. Common Stock",nyse
IR,False,Ingersoll Rand Inc. Common Stock,nyse
IRM,False,Iron Mountain Incorporated (Delaware)Common Stock REIT,nyse
ISRG,False,"Intuitive Surgical, Inc. - Common Stock",nasdaq
IT,False,"Gartner, Inc. Common Stock",nyse
ITA,True,iShares U.S. Aerospace & Defense ETF,bats
ITUB,False,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),nyse
ITW,False,Illinois Tool Works Inc. Common Stock,nyse
IVV,True,iShares Core S&P 500 ETF,nysearca
IVZ,False,Invesco Ltd Common Stock,nyse
J,False,Jacobs Solutions Inc. Common Stock,nyse
JBHT,False,"J.B. Hunt Transport Services, Inc. - Common Stock",nasdaq
JCI,False,Johnson Controls International plc Ordinary Share,nyse
JD,False,"JD.com, Inc. - American Depositary Shares",nasdaq
JETS,True,U.S. Global Jets ETF,nysearca
JKHY,False,"Jack Henry & Associates, Inc. - Common Stock",nasdaq
JNJ,False,Johnson & Johnson Common Stock,nyse
JNPR,False,"Juniper Networks, Inc. Common Stock",nyse
JPM,False,JP Morgan Chase & Co. Common Stock,nyse
K,False,Kellogg Company Common Stock,nyse
KDP,False,Keurig Dr Pepper Inc. - Common Stock,nasdaq
KEY,False,KeyCorp Common Stock,nyse
KEYS,False,Keysight Technologies Inc. Common Stock,nyse
KHC,False,The Kraft Heinz Company - Common Stock,nasdaq
KIM,False,Kimco Realty Corporation (HC) Common Stock,nyse
KKR,False,KKR & Co. Inc. Common Stock,nyse
KLAC,False,KLA Corporation  - Common Stock,nasdaq
KMB,False,Kimberly-Clark Corporation Common Stock,nyse
KMI,False,"Kinder Morgan, Inc. Common Stock",nyse
KMX,False,CarMax Inc,nyse
KO,False,Coca-Cola Company (The) Common Stock,nyse
